,index,value,subject,related_queries,geo,keyword,category,timeframe
81,6,molasses,+200%,rising,PH,Alcoholic Beverages,277,Feb-2020
82,7,pina colada,+190%,rising,PH,Alcoholic Beverages,277,Feb-2020
83,8,sarap bhe,+160%,rising,PH,Alcoholic Beverages,277,Feb-2020
84,9,malt,+140%,rising,PH,Alcoholic Beverages,277,Feb-2020
85,10,beer lyrics,+100%,rising,PH,Alcoholic Beverages,277,Feb-2020
86,11,facebook,+100%,rising,PH,Alcoholic Beverages,277,Feb-2020
87,12,bacardi 151,+100%,rising,PH,Alcoholic Beverages,277,Feb-2020
88,13,pornstar martini cocktail recipe,+100%,rising,PH,Alcoholic Beverages,277,Feb-2020
89,14,groggy,+90%,rising,PH,Alcoholic Beverages,277,Feb-2020
90,15,hang over,+90%,rising,PH,Alcoholic Beverages,277,Feb-2020
91,16,smirnoff mule,+80%,rising,PH,Alcoholic Beverages,277,Feb-2020
92,17,vodka,+80%,rising,PH,Alcoholic Beverages,277,Feb-2020
93,18,on vodka beers and regrets showing,+70%,rising,PH,Alcoholic Beverages,277,Feb-2020
94,19,vodka beers and regrets showing,+60%,rising,PH,Alcoholic Beverages,277,Feb-2020
95,20,carlo rossi,+60%,rising,PH,Alcoholic Beverages,277,Feb-2020
96,21,corona,+50%,rising,PH,Alcoholic Beverages,277,Feb-2020
97,22,green cross alcohol,+50%,rising,PH,Alcoholic Beverages,277,Feb-2020
98,23,lambingan su,+50%,rising,PH,Alcoholic Beverages,277,Feb-2020
99,24,drinking alcohol,+40%,rising,PH,Alcoholic Beverages,277,Feb-2020
100,0,alcohol,100,top,PH,Alcoholic Beverages,277,Mar-2020
101,1,beer,41,top,PH,Alcoholic Beverages,277,Mar-2020
102,2,corona,37,top,PH,Alcoholic Beverages,277,Mar-2020
103,3,wine,25,top,PH,Alcoholic Beverages,277,Mar-2020
104,4,vodka,25,top,PH,Alcoholic Beverages,277,Mar-2020
105,5,gin,22,top,PH,Alcoholic Beverages,277,Mar-2020
106,6,san miguel,17,top,PH,Alcoholic Beverages,277,Mar-2020
107,7,liquor,11,top,PH,Alcoholic Beverages,277,Mar-2020
108,8,sarap,11,top,PH,Alcoholic Beverages,277,Mar-2020
109,9,whiskey,8,top,PH,Alcoholic Beverages,277,Mar-2020
110,10,tequila,8,top,PH,Alcoholic Beverages,277,Mar-2020
111,11,whisky,8,top,PH,Alcoholic Beverages,277,Mar-2020
112,12,alcohol green cross,8,top,PH,Alcoholic Beverages,277,Mar-2020
